1583472342538,0.559,-0.453,9.769
1583472342538,0.794,-0.218,10.083
1583472342577,0.637,-0.139,9.926
1583472342578,0.637,-0.139,9.534
1583472342617,0.48,-0.061,9.612
1583472342617,0.637,0.017,10.005
1583472342657,0.637,-0.061,9.848
1583472342657,0.559,-0.218,9.612
1583472342701,0.48,-0.139,9.612
1583472342701,0.637,-0.139,9.769
1583472342737,0.48,-0.218,9.926
1583472342737,0.402,-0.218,9.926
1583472342777,0.48,-0.218,9.848
1583472342777,0.559,-0.061,9.848
1583472342817,0.559,-0.061,9.769
1583472342817,0.48,0.017,9.691
1583472342857,0.559,-0.061,9.848
1583472342858,0.559,-0.218,9.769
1583472342896,0.559,-0.218,9.769
1583472342897,0.48,-0.139,9.769
1583472342937,0.48,-0.218,9.848
1583472342937,0.559,-0.139,9.769
1583472342976,0.559,-0.139,9.691
1583472342976,0.716,-0.139,9.769
1583472343016,0.637,-0.061,9.691
1583472343016,0.637,-0.061,9.534
1583472343078,0.637,0.017,9.691
1583472343078,0.637,0.017,9.612
1583472343109,0.716,0.095,9.534
1583472343109,0.637,0.095,9.691
1583472343184,0.716,0.017,9.769
1583472343184,0.716,0.017,9.769
1583472343185,0.794,-0.061,9.926
1583472343185,0.951,-0.296,10.005
1583472343217,1.03,-0.453,9.926
1583472343217,1.03,-0.375,9.848
1583472343256,1.03,-0.218,9.769
1583472343256,1.03,-0.218,9.926
1583472343297,0.951,-0.296,9.848
1583472343297,0.951,-0.375,9.612
1583472343335,0.951,-0.375,9.455
1583472343335,0.873,-0.218,9.455
1583472343375,0.873,-0.061,9.22
1583472343375,0.873,-0.375,8.906
1583472343415,0.951,-0.532,8.749
1583472343415,1.03,-0.689,8.435
1583472343455,1.343,-0.296,8.278
1583472343455,1.422,0.017,7.886
1583472343495,1.579,0.33,8.357
1583472343495,1.657,0.566,9.455
1583472343534,1.187,0.644,10.789
1583472343534,1.343,0.566,12.515
1583472343574,1.03,0.566,13.143
1583472343574,0.716,0.723,14.163
1583472343615,0.794,0.644,15.496
1583472343615,0.716,0.252,16.595
1583472343654,1.265,0.095,17.536
1583472343655,1.579,0.252,18.792
1583472343694,1.03,0.566,20.047
1583472343694,0.167,0.409,20.047
1583472343736,-0.225,0.252,19.812
1583472343736,-0.774,0.801,18.635
1583472343774,-1.715,1.037,17.066
1583472343774,-1.872,1.115,15.34
1583472343815,-2.421,0.801,13.3
1583472343815,-2.578,0.566,10.946
1583472343853,-3.049,0.017,8.278
1583472343853,-3.598,-0.453,6.239
1583472343893,-3.755,-0.61,3.493
1583472343893,-3.363,-0.532,1.61
1583472343933,-2.892,-0.218,0.119
1583472343933,-1.951,-0.139,-1.606
1583472343973,-2.735,-0.061,-0.978
1583472343973,-1.558,0.174,-2.077
1583472344013,-0.303,0.252,-3.724
1583472344013,1.893,-0.375,-5.137
