1583486689867,0.48,0.095,10.005
1583486689867,0.48,0.095,9.926
1583486689901,0.559,0.017,9.848
1583486689901,0.48,0.017,9.848
1583486689941,0.48,-0.139,9.769
1583486689941,0.559,-0.218,9.769
1583486689981,0.559,-0.375,9.691
1583486689981,0.48,-0.375,9.769
1583486690023,0.48,-0.375,9.691
1583486690024,0.559,-0.453,9.691
1583486690063,0.559,-0.453,9.612
1583486690063,0.637,-0.453,9.612
1583486690103,0.559,-0.453,9.612
1583486690103,0.559,-0.532,9.612
1583486690141,0.48,-0.532,9.612
1583486690141,0.402,-0.453,9.691
1583486690180,0.324,-0.453,9.691
1583486690180,0.245,-0.375,9.691
1583486690220,0.245,-0.296,9.612
1583486690220,0.245,-0.296,9.534
1583486690259,0.245,-0.375,9.455
1583486690260,0.245,-0.218,9.455
1583486690299,0.402,0.723,10.318
1583486690299,0.48,0.409,10.083
1583486690340,0.324,0.095,9.848
1583486690340,0.245,-0.296,10.005
1583486690379,0.245,-0.532,9.926
1583486690380,0.559,-0.453,10.005
1583486690419,0.402,-0.296,9.926
1583486690419,0.167,-0.218,9.926
1583486690460,0.48,-0.218,10.161
1583486690460,0.167,-0.375,11.26
1583486690499,0.01,-0.218,12.044
1583486690499,-0.146,0.017,13.143
1583486690538,-0.46,0.174,14.476
1583486690538,-0.539,0.33,15.653
1583486690580,-0.539,0.487,15.967
1583486690580,-1.088,0.801,15.575
1583486690618,-1.872,0.33,16.516
1583486690618,-2.657,0.017,16.673
1583486690658,-3.049,-0.139,15.653
1583486690658,-3.128,0.174,14.32
1583486690698,-3.206,0.174,12.594
1583486690698,-3.128,0.017,11.181
1583486690738,-2.735,0.017,10.005
1583486690738,-2.265,-0.061,8.985
1583486690778,-1.794,0.017,7.494
1583486690778,-1.323,-0.061,5.533
1583486690818,-0.695,-0.218,3.885
1583486690818,-0.225,-0.061,2.708
1583486690857,0.01,-0.139,1.296
1583486690858,0.402,-0.139,-0.037
1583486690897,0.716,-0.296,-1.449
1583486690897,0.716,-0.218,-2.077
